# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,0.11505900934998824,0.0,0.34432350240993553,2.90424555106159,0.0,0.0
 0.15439809330827964,0.011919385608616113,0.07719904665413982,0.5,0.11505900934998824,0.36,0.34432350240993553,2.90424555106159,0.0,0.0
 0.2176176757060253,0.023678726389846402,0.18600788450715253,1.7211255393691545,0.34862948438288294,0.72,0.3556889493935607,2.811445229616975,3.6945906026931232,58.44060435971605
 0.2656304827710684,0.03527977668859542,0.24162407923854665,1.1583616566315467,0.586665915830805,1.08,0.36743351960510623,2.72158076670505,4.957769520233497,26.309207787604297
 0.30569361819175334,0.04672429410158273,0.28566205048141086,1.0992142971447763,0.829248235788414,1.44,0.37956770304456444,2.6345761032323436,6.055000873255707,27.387555704282168
 0.3406289462792596,0.05801403952165935,0.3231612822355063,1.0733899982323643,1.0764565664910022,1.8,0.3921020058973911,2.550356756557092,7.076170290525935,29.230279867771557
 0.37188916945786926,0.06915077718003187,0.356259057868564,1.0587824483513422,1.328371099925283,2.16,0.40504691663647685,2.4688498021513987,8.058628756261012,31.428389366309464
 0.4003405417544037,0.08013627468610471,0.38611485560613673,1.0493623093607114,1.5850719667548911,2.52,0.4184128684791957,2.389983854069063,9.022442367775565,33.87582157616879
 0.42654965259540345,0.09097230306462968,0.4134450971749041,1.0427763740086051,1.8466390939633608,2.88,0.4322101975649783,2.313689046750593,9.98000766967232,36.5355890058966
 0.4509116028443502,0.1016606367898305,0.4387306277198767,1.0379107701390113,2.1131520506053643,3.24,0.44644909682926176,2.239897016484359,10.939721734860925,39.393975251636334
 0.47371521786015197,0.11220305381614562,0.4623134103522514,1.0341686007254993,2.384689881049265,3.6000000000000005,0.46113956523975846,2.1685408830189488,11.907665966810034,42.446964276426066
 0.4951794333475685,0.1226013356052095,0.48444732560386006,1.031200756654013,2.6613309250891417,3.960000000000001,0.47629135193898153,2.099555232168296,12.888476832617483,45.69516488419773
 0.515475056910938,0.13285726714866739,0.5053272451292541,1.0287892589355616,2.9431526243031048,4.320000000000001,0.4919138951868286,2.0328760984078333,13.88583594556848,49.14158512237485
 0.5347385099025358,0.14297263698639223,0.5251067834067387,1.0267909022391708,3.230231314038682,4.6800000000000015,0.5080162560270339,1.9684409467928232,14.902763791143416,52.79052753514594
 0.5530808932148112,0.15294923721964676,0.5439097015586735,1.0251076881242116,3.522642000414438,5.040000000000002,0.5246070458469001,1.906188656665197,15.941804366287725,56.64697751948855
 0.5705941877003401,0.16278886351870553,0.5618375404575765,1.0236702702462248,3.8204581217420364,5.400000000000002,0.5416943480773417,1.8460595048653206,17.005145523800934,60.71622665808788
 0.5873556250252897,0.17249331512442442,0.578974906362815,1.0224281827984598,4.123751293793531,5.7600000000000025,0.5592856338445703,1.7879951486075674,18.09469952794793,65.0036141307035
 0.6034308491338791,0.1820643948432172,0.5953932370795818,1.021343814920381,4.432591038368222,6.120000000000003,0.5773876706055912,1.731938610589231,19.212157944950196,69.51432897319168
 0.6188762542461443,0.19150390903486914,0.61115355169001,1.0203885554230532,4.7470444946499155,6.480000000000003,0.5960064247799742,1.67783426222153,20.359029368027738,74.25324326176522
 0.6337407476130759,0.20081366759259012,0.626308500929608,1.0195402470502415,5.067176112891263,6.840000000000003,0.6151469570965975,1.625627808873268,21.536665282755802,79.2247596778445
 0.6480671013323862,0.2099954839146806,0.6409039244727287,1.0187814589170507,5.393047330019552,7.200000000000004,0.6348133113733634,1.5752662744840478,22.746277490625587,84.43266385635616
 0.6618930047479809,0.21905117486715522,0.6549800530401835,1.0180982858290397,5.724716226823366,7.560000000000004,0.6550083963697443,1.526697986685826,23.988949353552844,89.87997569298862
 0.6752518948313174,0.22798256073664222,0.6685724497896502,1.0174794960265052,6.062237166460863,7.920000000000004,0.6757338603241847,1.4798725633198964,25.265642394835638,95.56879600913088
 0.6881736193328678,0.23679146517284932,0.68171275708209,1.0169159148117692,6.405660414120481,8.280000000000005,0.6969899594250025,1.4347408975948124,26.57719932184074,101.50014627287085
 0.7006849721805958,0.24547971511986108,0.6944292957567348,1.0163999712432479,6.755031737772947,8.640000000000006,0.718775418900029,1.3912551454950146,27.92434422596519,107.6737999895097
 0.7128101300283406,0.2540491407355098,0.706747551104466,1.0159253596869438,7.110391990070322,9.000000000000005,0.7410872884641394,1.3493687121154678,29.307680506894926,114.08810493852894
 0.7245710114240556,0.26250157529803936,0.7186905707261998,1.0154867836763688,7.471776671587752,9.360000000000007,0.7639207912905505,1.3090362396219413,30.727686927367504,120.73979599776875
 0.7359875747582463,0.2708388550992625,0.7302792930911479,1.015079759619238,7.839215475750419,9.720000000000006,0.7872691678743863,1.2702135950528628,32.18471210703557,127.62379860010219
 0.7470780673040736,0.27906281932339483,0.7415328210311598,1.0147004647008169,8.21273181596116,10.080000000000007,0.8111235148759353,1.232857859080752,33.678967698443074,134.73302337412485
 0.7578592348328795,0.2871753099107387,0.7524686510684739,1.0143456177723713,8.592342335624316,10.440000000000007,0.8354726202549972,1.1969273148589679,35.21052044213983,142.05815275614896
 0.7683464991855903,0.295178171405376,0.7631028670092335,1.0140123852233016,8.978056401968702,10.800000000000008,0.8603027950759646,1.162381437935117,36.77928326891913,149.5874208962613
